year	title	country
2018	об отцах и сыновьях	германия,сирия,ливан,катар
2018	постоянно временная жизнь мухи	израиль,германия
2018	вкус цемента	германия,ливан,сирия,оаэ,катар
2018	песни для кита	россия,беларусь
2018	далекое созвездие	великобритания,турция,нидерланды
2018	за пределом	польша
2018	ужас	аргентина
2018	пирипкура	бразилия
2018	одинокая битва томаса рида	ирландия
2018	мир по далибореку	чехия,словакия,великобритания,дания
2018	король лир	россия
2018	дано: моя мать	латвия
2018	бобби джин	дания,швеция
2018	америка	сша
2019	хозяин оленей	россия
2019	страна меда	македония
2019	токломати	израиль
2019	одна из тысячи	афганистан,франция
2019	птички предместья	швеция,шотландия
2019	реанимация	россия
2019	в поисках фариды	иран
2019	волшебная жизнь в	финляндия,дания,болгария
2019	на связи	польша,исландия
2019	овечий герой	нидерланды
2019	полуночная помощь	мексика,сша
2019	привет, искусственный интеллект	германия
2019	хроники ртути	сша
2020	горькая любовь	швеция,финляндия,польша
2020	дитя любви	дания
2020	уроки любви	польша
2020	одиноки вместе	израиль
2020	с рождеством, иу	швеция,сербия,франция,германия,бельгия,катар
2020	секретарь по идеологии	россия
2020	стриптиз и война	беларусь,польша
2020	комбинат	швейцария
2020	король круиза	нидерланды
2020	мечта бабочки	польша
2020	спой мне песню	франция,германия,швейцария
2020	удерживая в себе	израиль
2020	черта характера	сша
2020	школа соблазнения	дания,австрия,норвегия
2021	ксендз бонецкий	польша
2021	человек, который искал сына	франция
2021	ужасные дети	франция,турция,германия
2021	дом кинорежиссера	великобритания
2021	кубинский танцор	италия,канада,чили
2021	по другую сторону реки	германия
2021	луна – мое сердце	аргентина
2021	уличные музыканты	бельгия
2021	тягай как девчонка	египет
2021	последний	азербайджан
2021	ночные ясли	буркина-фасо
2021	немое наследие	болгария
2021	еще один день	польша
2021	джой	россия
2021	дети на испытательном сроке	израиль
2022	четыре путешествия	нидерланды,китай 
2022	о чем я не скажу своей матери	бангладеш,франция
2022	фукунаси	швейцария,япония
2022	говорить о молчании	израиль
2022	выход	россия
2022	куда мы едем	россия
2022	звезда ведетта	франция
2022	люминум	аргентина
2022	поющие в глуши	китай
2022	после дождя	китай
2022	визажист	иран
2022	в ожидании хандке	сербия
2023	тайные письма	китай,германия,норвегия,сша
2023	кого люблю…	финляндия,россия
2023	таня. лето. зима	россия
2023	кармен, или история несчастной любви ханспетера из оберкасселя, которая принесла моим детям счастье в чужой стране	германия,грузия
2023	штамс: мечты о золоте	австрия
2023	чей я пес?	венгрия,румыния
2023	сделка жизни	австрия
2023	приключения джиджи, представителя закона	италия,франция,бельгия
2023	каф	сша,ливан
2023	единственный доктор	сша
2023	горькие дни	центральноафриканская республика,китай
2023	болельщица	иран
2023	артем и ева	франция,грузия,эстония
2024	стекло, моя несбывшаяся жизнь	нидерланды
2024	против ветра	россия
2024	текстура лжи	израиль
2024	кикс	венгрия,франция,хорватия
2024	нас трое	израиль
2024	эви и я	франция
2024	плейгерл	китай
2024	можно я не буду умирать?	россия
2024	медик	кыргызстан
2024	клиника	тайвань,мьянма
2024	благословенное место	великобритания
