year	title	country
2010	албанец	германия,албания
2010	берлин, боксхагенер платц	германия
2010	беса	сербия,словения,франция,венгрия,хорватия
2010	брат	венесуэла
2010	вниз по течению	испания
2010	воробей	россия
2010	выброшенный на берег моря	турция
2010	дорогая элис	швеция
2010	как рай земной	чехия
2010	коул	канада
2010	последний донос на анну	венгрия
2010	разные матери	румыния
2010	розочка	польша
2010	следы на песке	болгария
2010	убийца с камерой	австрия,венгрия,швейцария
2010	фильм-просвещение	южная корея
2010	это начинается с конца	франция
2011	las olas	испания
2011	american translation	франция
2011	escalade	франция
2011	heart's boomerang	россия
2011	joanna	польша
2011	la vita facile	италия
2011	odcházení	чехия
2011	montevideo: taste of a dream	сербия
2011	postcard	япония
2011	retrace	венгрия,румыния,швеция
2011	revenge: a love story	гонконг
2011	shapito-shou: lyubov i druzhba	россия
2011	sneakers	болгария
2011	tabu: the soul is a stranger on earth	австрия,германия,люксембург,франция
2011	the other family	мексика
2011	w imieniu diabla	польша
2011	i will die without you	грузия
2012	junkhearts	великобритания
2012	80 million	польша
2012	a cherry on a pomegranate tree	китай
2012	a.c.a.b.	италия,франция
2012	fecha de caducidad	мексика
2012	fire in hell	южная корея,филиппины
2012	growing in the wind	иран
2012	gulf stream under the iceberg	латвия,россия,мальта,австрия
2012	july	болгария
2012	magnificent presence	италия
2012	naked harbour	финляндия
2012	odinokiy ostrov	беларусь,эстония,латвия
2012	poslednyaya skazka rity	россия
2012	the apostle	испания
2012	the door	венгрия,германия
2012	the horde	россия
2012	vegetarian cannibal	хорватия
2013	the particle	турция
2013	a man, his lover and his mother	швейцария
2013	a memória que me contam	бразилия,аргентина,чили
2013	back in crime	франция
2013	delight	великобритания
2013	iuda	россия,мальта
2013	koma	грузия
2013	lebanon emotion	южная корея
2013	mamarosh	сербия,германия,венгрия
2013	matterhorn	нидерланды
2013	rol	россия,беларусь,финляндия,германия
2013	slide	россия
2013	spaghetti story	италия
2013	the kids from the port	испания
2013	the ravine of goodbye	япония
2013	traffic department	польша
2014	my man	япония
2014	a most wanted man	великобритания,сша,германия
2014	belyy yagel	россия
2014	beti and amare	сша,испания,румыния,германия,канада,эфиопия
2014	brothers. the final confession	украина
2014	dreamland	швейцария,германия
2014	gözümün nuru	турция,франция
