year	title	country
2018	не забудь меня	израиль,германия,франция
2018	ни даты, ни подписи	иран
2018	овдовевшая ведьма	китай
2018	мужчины не плачут	босния и герцеговина,хорватия,словения,германия
2018	вороны	швеция
2018	восход эдерлези	сербия
2018	зерно	турция,германия,швеция,катар
2018	намме	грузия
2018	гофманиада	россия
2019	бумажные флаги	франция
2019	отвези меня туда, где хорошо	нидерланды,босния и герцеговина
2019	слепое пятно	норвегия
2019	конец сезона	азербайджан,германия,грузия
2019	тридцать	германия
2019	красный	аргентина,бельгия,бразилия,германия,франция,швейцария
2019	ирина	болгария
2019	после моего ухода	израиль
2019	дылда	россия
2020	без особых признаков	мексика,испания
2020	кот в стене	болгария,франция,великобритания
2020	назир	нидерланды,сингапур
2020	одинокая скала	аргентина,мексика,катар,великобритания
2020	бабай	сша
2020	кала-азар	нидерланды,греция
2020	cook, f...ck, kill	чехия,словакия
2020	дочь рыбака	россия
2021	совесть	россия
2021	…и будет дочь	россия
2021	бебиа, по моему единственному желанию	великобритания,грузия
2021	страх	болгария
2021	камешки (галька)	индия
2021	соперник	германия
2021	недвижимый	монголия,германия
2021	в поисках венеры	косово
2021	дорога в эдем	кыргызстан
2022	феи шанкара	индия
2022	город и город	греция
2022	призрачно-белый	россия,израиль,германия
2022	ржавчина	колумбия,франция
2022	счастье	казахстан
2022	герои рабочего класса	сербия
2022	тембот	россия
2023	вы видели эту женщину?	сербия
2023	брайтон 4	грузия
2023	ветер расскажет	китай,малайзия
2023	соколиное озеро	канада,франция
2023	висента б	куба,колумбия,сша,франция,норвегия
2023	фремонт	сша
2023	шивамма	индия
2023	ниша	россия
2024	78 дней	сербия
2024	женщина	китай
2024	жизнь	турция,болгария
2024	кукушка	россия
2024	иво	германия
2024	отца сын	россия
2024	прощай, джулия	судан,египет,германия,франция,саудовская аравия,швеция
2024	сидони в японии	франция,германия,швейцария,япония
2024	черный пес	китай
